"true_lambda","true_eta0","r0_seed","replicate","seed","candidate_lambda","eta0_hat","log_eta0_error","log_lambda_error","eta0_boundary","lower_bound","elbo_below_best","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,43,3,5,100011,0.001,14.3446913809567,-1.09782018054139,0,"interior",2136.11008813598,-29.6277771845707,1,1,0.5,FALSE,0.209749912226535,0.0156794877912066,TRUE,93,0.320999999999998,"252, 404"
0.001,43,3,5,100011,0.003,26.5572740651166,-0.481896429442955,1.09861228866811,"interior",2161.3518198046,-4.38604551595836,1,1,0.5,FALSE,0.233613366643856,0.00893044940776533,TRUE,79,0.274000000000001,"252, 404"
0.001,43,3,5,100011,0.005,35.471130826628,-0.192480966203145,1.6094379124341,"interior",2165.73786532055,0,1,1,0.5,FALSE,0.236156635149031,0.0089155449777244,TRUE,75,0.258000000000003,"252, 404"
0.001,43,3,5,100011,0.008,46.8749893036736,0.08628414040869,2.07944154167984,"interior",2164.7246366085,-1.01322871205775,1,1,0.5,FALSE,0.235894547588913,0.0102324506832756,TRUE,61,0.210999999999999,"252, 404"
0.001,43,3,5,100011,0.01,54.0030421379598,0.22784026517205,2.30258509299405,"interior",2162.33038740121,-3.407477919347,1,1,0.5,FALSE,0.236040791496434,0.0130985116910206,TRUE,35,0.121000000000002,"252, 404"
0.001,43,3,5,100011,0.015,73.6917675737422,0.538690975413795,2.70805020110221,"interior",2154.58015570882,-11.1577096117326,1,1,0.5,FALSE,0.252020526298141,0.0525946743190377,TRUE,62,0.215000000000003,"252, 404"
0.001,43,3,5,100011,0.02,124.730022132838,1.06495146289003,2.99573227355399,"interior",2148.499060183,-17.2388051375538,2,1,1,TRUE,0.71687848783076,0.446734429763356,TRUE,95,0.320999999999998,"252, 404"
0.001,43,3,5,100011,0.025,148.60046209038,1.24006112621097,3.2188758248682,"interior",2141.1166943039,-24.6211710166576,2,1,1,TRUE,0.717208724289545,0.442403004678419,TRUE,46,0.152000000000001,"252, 404"
0.001,43,3,5,100011,0.03,173.606794749909,1.39559282603118,3.40119738166216,"interior",2133.95430769862,-31.7835576219372,2,1,1,TRUE,0.716399921729748,0.438017376412776,TRUE,21,0.068000000000005,"252, 404"
0.001,95,3,1,100012,1e-05,2,-3.8607297110406,-4.60517018598809,"lower",1701.32605777313,-570.727828241604,0,0,0,FALSE,0.024539157970747,0.0239977379217168,TRUE,143,0.576,"311, 321"
