"true_lambda","true_eta0","r0_seed","replicate","seed","profile_type","candidate_lambda","raw_eta0_hat","eta0_used","eta0_multiplier","raw_log_eta0_error","used_log_eta0_error","log_lambda_error","eta0_boundary","lower_bound","elbo_below_best","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,447,5,2,100113,"profiled_eta0",1e-04,25.6727180965115,25.6727180965115,1,-2.85712971922342,-2.85712971922342,-2.30258509299405,"interior",2403.58235555978,-126.588439987438,1,1,0.5,FALSE,0.234682517886312,0.0084876416929931,TRUE,79,0.381999999999834,"31, 277"
0.001,447,5,2,100113,"profiled_eta0",0.001,198.181403964469,198.181403964469,1,-0.813375801718532,-0.813375801718532,0,"interior",2524.78740321713,-5.38339233008492,2,1,1,TRUE,0.737103834892926,0.537927239251605,TRUE,77,0.363000000000056,"31, 277"
0.001,447,5,2,100113,"profiled_eta0",0.002,375.162361910941,375.162361910941,1,-0.175199697249656,-0.175199697249656,0.693147180559945,"interior",2530.17079554721,0,2,1,1,TRUE,0.778101025814868,0.586317272268331,TRUE,70,0.337999999999965,"31, 277"
0.001,447,5,2,100113,"profiled_eta0",0.004,1103.58076974806,1103.58076974806,1,0.903756822557864,0.903756822557864,1.38629436111989,"interior",2522.49070319653,-7.68009235068666,2,1,1,TRUE,0.814282526562792,0.639730009661266,TRUE,7,0.0260000000000673,"31, 277"
0.001,447,5,2,100113,"profiled_eta0",0.006,10137.8235222989,10137.8235222989,1,3.12147001672123,3.12147001672123,1.79175946922805,"interior",2511.98076272131,-18.1900328259067,2,1,1,TRUE,0.830232021293892,0.665747472514391,TRUE,13,0.15300000000002,"31, 277"
0.001,447,5,2,100113,"profiled_eta0",0.008,20000,20000,1,3.80092895792256,3.80092895792256,2.07944154167984,"upper",2501.04963261482,-29.1211629323989,2,1,1,TRUE,0.8317462798982,0.668441518796511,TRUE,10,0.182000000000016,"31, 277"
0.001,447,5,2,100113,"profiled_eta0",0.01,20000,20000,1,3.80092895792256,3.80092895792256,2.30258509299405,"upper",2489.81998284917,-40.3508126980428,2,1,1,TRUE,0.832374610394491,0.669631116406985,TRUE,7,0.09699999999998,"31, 277"
0.001,447,5,3,100114,"calibrated_eta0",1e-05,2,3.074,1.537,-5.40941141405362,-4.97957894949717,-4.60517018598809,"lower",1879.43625534884,-569.75283499511,0,0,0,FALSE,0.0131995573481995,0.0117297474215193,TRUE,27,0.801999999999907,"325, 443"
0.001,447,5,3,100114,"calibrated_eta0",1e-04,21.6121199277911,33.2178283290149,1.537,-3.02930432951745,-2.59947186496099,-2.30258509299405,"interior",2268.4254864537,-180.763603890254,1,1,0.5,FALSE,0.181760187042694,0.00816214701433038,TRUE,67,0.461999999999989,"325, 443"
0.001,447,5,3,100114,"calibrated_eta0",0.001,110.542190560518,169.903346891516,1.537,-1.39716133150126,-0.967328866944803,0,"interior",2439.23770194176,-9.95138840219761,1,1,0.5,FALSE,0.208964060766046,0.0354875234521251,TRUE,16,0.277000000000044,"325, 443"
0.001,447,5,3,100114,"calibrated_eta0",0.002,176.929280153387,271.940303595755,1.537,-0.92680848903598,-0.496976024479522,0.693147180559945,"interior",2449.18909034395,0,1,1,0.5,FALSE,0.565936475939997,0.38168336003709,TRUE,57,0.127999999999929,"325, 443"
0.001,447,5,3,100114,"calibrated_eta0",0.004,372.476339375533,572.496133620194,1.537,-0.182385077266282,0.247447387290176,1.38629436111989,"interior",2444.06886840847,-5.12022193548819,2,1,1,TRUE,0.679787059929978,0.388077853159873,TRUE,8,0.119000000000142,"325, 443"
